; ;;;;;;2017-12-28;;2017-12-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;OMX:;+0,07%;;;;;JK:;WG:;MH:;EE:;TOT:;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;-0,007803263;;;;;;;;;;;;;;;;;;11:37:06;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;CSX:;+0,39%;;;;;0,034%;0,022%;0,037%;0,039%;0,132%;;;;;;;;;;MOM;MOM;VOL;VOL;MCAP;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;2021-04-12;;;;;;;;;;;;;;;;;;;;;;;;;L/S ;PORTO;L/S ;PORTO;L/S ;;;;;;;;;;;
;TICKER;;;Market;Price;MarketCap;5 days;ADV;Beta 2Y;� Net;PM;PRICE;VOLUME;VALUE;SIZE;;;WEIGHT;% 1D;� SEK 1D;;;� 1D;� 1D;DPS;DIV;� 1W;� MTD;� 1M;� 3M;� 6M;VOL 30D;MOM;;;;;WEIGHT;WEIGHT;WEIGHT;WEIGHT;WEIGHT;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ISS; ; ;CSS;LAST;30 744 550 195;0;615 955;1,00;0,6%;EE;121,48;114 915;19 028 619;0,06%;;;0,6%;0,00%;-50 910;;;-0,33;-0,3%;0,00;0;-1%;3%;9%;20%;35%;23;11,6 ;;;;;0,11;0,07;0,22;0,14;0,3;;;;;;;;;;;
;ISS; ; ;CSS;LAST;30 744 550 195;0;615 955;1,00;0,3%;JK;121,48;65 000;10 763 262;0,04%;;;0,3%;0,00%;-28 797;;;-0,33;-0,3%;0,00;0;-1%;3%;9%;20%;35%;23;11,6 ;;;;;0,06;0,04;0,13;0,08;0,2;;;;;;;;;;;
;ITECH;;;SSE;LAST;853 836 367;3 443 998;19 637;1,40;0,2%;MH;71,70;67 670;4 851 939;0,57%;;;0,2%;0,00%;-115 039;;;-1,70;-2,3%;0,00;0;-3%;-2%;-3%;-16%;6%;18;-4,2 ;;;;;-0,01;-0,01;0,04;0,03;0,0;;;;;;;;;;;
;KAMBI;;;SSE;LAST;15 495 660 438;0;227 955;1,40;0,4%;EE;501,50;19 524;9 791 286;0,06%;;;0,3%;0,01%;263 574;;;13,50;2,8%;0,00;0;-3%;8%;3%;8%;60%;43;10,2 ;;;;;0,05;0,03;0,22;0,13;0,1;;;;;;;;;;;
;KAMBI;;;SSE;LAST;15 495 660 438;0;227 955;1,40;0,4%;MH;501,50;18 536;9 295 804;0,06%;;;0,3%;0,01%;250 236;;;13,50;2,8%;0,00;0;-3%;8%;3%;8%;60%;43;10,2 ;;;;;0,05;0,03;0,20;0,12;0,1;;;;;;;;;;;
;KAR;;;SSE;LAST;4 970 741 494;0;114 161;1,40;0,2%;WG;50,80;75 087;3 814 420;0,08%;;;0,1%;0,00%;-30 035;;;-0,40;-0,8%;0,00;0;-4%;-3%;2%;-11%;-10%;26;-4,6 ;;;;;-0,01;-0,01;0,05;0,03;0,0;;;;;;;;;;;
;KIND SDB;;;SSE;LAST;35 266 830 342;0;1 347 209;1,40;0,9%;JK;153,25;130 000;19 922 500;0,06%;;;0,6%;0,00%;97 500;;;0,75;0,5%;0,00;0;-0%;-0%;3%;43%;114%;33;26,6 ;;;;;0,27;0,16;0,34;0,21;0,4;;;;;;;;;;;
;KIND SDB;;;SSE;LAST;35 266 830 342;0;1 347 209;1,40;0,4%;WG;153,25;55 690;8 534 493;0,02%;;;0,3%;0,00%;41 768;;;0,75;0,5%;0,00;0;-0%;-0%;3%;43%;114%;33;26,6 ;;;;;0,12;0,07;0,15;0,09;0,2;;;;;;;;;;;
;KIND SDB;;;SSE;LAST;35 266 830 342;0;1 347 209;1,40;3,6%;MH;153,25;546 004;83 675 113;0,24%;;;2,6%;0,01%;409 503;;;0,75;0,5%;0,00;0;-0%;-0%;3%;43%;114%;33;26,6 ;;;;;1,15;0,69;1,44;0,87;1,5;;;;;;;;;;;
;KINV B;; ;SSE;LAST;114 798 962 807;0;613 849;0,90;0,1%;EE;474,55;9 358;4 440 839;0,00%;;;0,1%;0,00%;60 359;;;6,45;1,4%;0,00;0;-1%;12%;12%;14%;26%;22;9,9 ;;;;;0,02;0,01;0,05;0,03;-0,5;;;;;;;;;;;
;LIAB;;;SSE;LAST;14 049 345 870;5 384 522;161 350;1,00;1,1%;WG;178,50;191 515;34 185 428;0,24%;;;1,1%;0,00%;38 303;;;0,20;0,1%;0,00;0;-1%;1%;1%;-4%;12%;28;1,2 ;;;;;0,02;0,01;0,49;0,30;0,2;;;;;;;;;;;
